CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346.0,326,1,77183.6,3,Loyal Customers
12347.0,2,7,4310.0,0,At-Risk Customers
12348.0,75,4,1797.24,0,At-Risk Customers
12349.0,19,1,1757.55,0,At-Risk Customers
12350.0,310,1,334.4,1,Low-Value/Inactive Customers
12352.0,36,8,2506.04,0,At-Risk Customers
12353.0,204,1,89.0,1,Low-Value/Inactive Customers
12354.0,232,1,1079.4,1,Low-Value/Inactive Customers
12355.0,214,1,459.4,1,Low-Value/Inactive Customers
12356.0,23,3,2811.43,0,At-Risk Customers
12357.0,33,1,6207.67,0,At-Risk Customers
12358.0,2,2,1168.06,0,At-Risk Customers
12359.0,58,4,6310.03,0,At-Risk Customers
12360.0,52,3,2662.06,0,At-Risk Customers
12361.0,287,1,189.9,1,Low-Value/Inactive Customers
12362.0,3,10,5226.23,0,At-Risk Customers
12363.0,110,2,552.0,0,At-Risk Customers
12364.0,8,4,1313.1,0,At-Risk Customers
12365.0,291,2,641.38,1,Low-Value/Inactive Customers
12367.0,4,1,168.9,0,At-Risk Customers
12370.0,51,4,3541.94,0,At-Risk Customers
12371.0,45,2,1887.96,0,At-Risk Customers
12372.0,72,3,1298.04,0,At-Risk Customers
12373.0,311,1,364.6,1,Low-Value/Inactive Customers
12374.0,25,1,742.9300000000001,0,At-Risk Customers
12375.0,11,2,457.5,0,At-Risk Customers
12377.0,315,2,1628.12,1,Low-Value/Inactive Customers
12378.0,130,1,4008.62,0,At-Risk Customers
12379.0,82,2,852.24,0,At-Risk Customers
12380.0,22,4,2724.81,0,At-Risk Customers
12381.0,5,5,1845.31,0,At-Risk Customers
12383.0,185,5,1850.56,1,Low-Value/Inactive Customers
12384.0,29,2,585.27,0,At-Risk Customers
12386.0,338,2,401.9,1,Low-Value/Inactive Customers
12388.0,16,6,2780.66,0,At-Risk Customers
12390.0,80,1,549.84,0,At-Risk Customers
12391.0,22,1,439.66,0,At-Risk Customers
12393.0,72,4,1582.6000000000001,0,At-Risk Customers
12394.0,64,2,1272.48,0,At-Risk Customers
12395.0,19,12,3018.63,0,At-Risk Customers
12397.0,36,2,2409.9,0,At-Risk Customers
12398.0,46,1,1635.6599999999999,0,At-Risk Customers
12399.0,119,4,1108.65,0,At-Risk Customers
12401.0,303,1,84.3,1,Low-Value/Inactive Customers
12402.0,323,1,225.6,1,Low-Value/Inactive Customers
12403.0,50,1,427.7,0,At-Risk Customers
12405.0,149,1,1710.39,1,Low-Value/Inactive Customers
12406.0,22,2,3415.3,0,At-Risk Customers
12407.0,50,5,1708.1200000000001,0,At-Risk Customers
12408.0,33,5,2888.55,0,At-Risk Customers
12409.0,79,3,11072.67,0,At-Risk Customers
12410.0,309,2,693.3299999999999,1,Low-Value/Inactive Customers
12412.0,75,3,1226.88,0,At-Risk Customers
12413.0,67,3,758.1,0,At-Risk Customers
12414.0,217,3,562.41,1,Low-Value/Inactive Customers
12415.0,24,21,124914.53,2,VIP Customers
12417.0,3,9,3649.1,0,At-Risk Customers
12418.0,113,1,668.58,0,At-Risk Customers
12420.0,64,1,600.39,0,At-Risk Customers
12421.0,16,4,807.04,0,At-Risk Customers
12422.0,96,3,803.5600000000001,0,At-Risk Customers
12423.0,1,8,1859.31,0,At-Risk Customers
12424.0,163,2,1760.96,1,Low-Value/Inactive Customers
12425.0,78,1,777.2,0,At-Risk Customers
12426.0,195,1,582.73,1,Low-Value/Inactive Customers
12427.0,22,3,825.8,0,At-Risk Customers
